"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"09CD5F39-BB6A-3A29-5521E52514E45641","Red Dragon","4051 Davis DR","MORRISVILLE","NC","27560","","","19193881836"
"0A34A22A-1422-201B-19C3CA251CE423A7","BRUEGGERS BAGELS #24","6274 GLENWOOD AVE ","RALEIGH","NC","27612","","","19198812626"
"0A45A024-1422-201B-19D5ABA79D67ACF5","BRUEGGERS BAGELS #143","7550-106 CREEDMOOR RD ","RALEIGH","NC","27613","","","19198484902"
"0CEBE91D-EDAB-D86D-EBC7B29B3EBEF7EF","LITTLE HEN","5160 SUNSET LAKE  RD ","APEX","NC","27539","","","19193630000"
"0D049F23-D914-645B-5BBE16D45F81FC73","TENKO JAPAN","6325 FALLS OF NEUSE  RD ","RALEIGH","NC","27615","","","19198764545"
"0D0D9797-A3E9-42A7-C99E0AF1DFCD579A","WILD WING CAFE","2300 WALNUT  ST ","CARY","NC","27518","","","19198030578"
"0D71A75D-D665-A0EF-807BCD025AE2BAEC","BISCUITVILLE #184","4305 FAYETTEVILLE RD ","GARNER","NC","27529","","","19198038112"
"0F37B006-D4E2-7054-55DA2C161E83A4F1","FRESH AND FRY SEAFOOD","2822 NEW BIRCH  DR ","RALEIGH","NC","27610","","","19196152898"
"0F4A8769-E8E3-7D8E-4F40C8675263904D","THE LATIN CORNER","421 CHAPANOKE RD ","RALEIGH","NC","27603","","","19192648584"
"0FECEB45-B2AE-76E8-77671B9858BA5FD6","RUDINO'S PIZZA & GRINDERS SPORTS CORNER","3101-101 EDWARDS MILL RD ","RALEIGH","NC","27612","","","19197864235"
"10059478-C540-1703-0F2CFAA3AD7FFDD8","BRAVO'S MEXICAN GRILL","208 GRANDE HEIGHTS DR ","CARY","NC","27513","","","19194813811"
"100B15EA-15E7-74FA-752DECAD5927606A","PHO CALI","3310 CAPITAL  BLVD ","RALEIGH","NC","27604-3340","","","19198787898"
"00365192-A8F6-87E1-4D85FECDC569C6AB","CHECKERS PIZZA","2810 HILLSBOROUGH ST ","RALEIGH","NC","27607","","","19198326522"
"003B5816-EB2D-98FB-BB9A47422343117B","AVIATOR TASTING ROOM","209 TECHNOLOGY PARK  LN ","FUQUAY VARINA","NC","27526","","","19195672337"
"008A6B72-E823-5930-B24407ED48C781C8","ELEVATION BURGER","8301 BRIER CREEK  PKY ","RALEIGH","NC","27617","","","19199992774"
"00CE5345-0311-776C-22695D158EEEA36E","LATIN QUARTERS","7335 SIX FORKS  RD ","RALEIGH","NC","27615","","","19199008333"
"00D18CF6-A9E0-C802-4912244307982DE1","DUNKIN DONUTS/BASKIN ROBBINS #331785","7137 KNIGHTDALE BLVD ","KNIGHTDALE","NC","27545","","","19192179603"
"00D18CF6-A9E0-C802-4912244307982DE1","DUNKIN DONUTS/BASKIN ROBBINS #331785","7137 KNIGHTDALE BLVD ","KNIGHTDALE","NC","27545","","","19192179603"
"00FC2D97-FE0A-549D-150427A6BFD57253","CLARK DINING HALL","221 JENSEN  DR ","RALEIGH","NC","27695","","","19195134680"
"00FF7E07-D5C4-3000-995FAB448FED097D","McKimmon Corner Café","1101 GORMAN ST ","RALEIGH","NC","27695","","","19195134546"
"010EBE88-D265-AB66-7F9392ED1ABEA2FC","DAILY PLANET CAFE","11   W JONES ST ","RALEIGH","NC","27601","","","19197078060"
"011A703F-D8CE-C53D-62B3073DF4809ED4","GROCERY BOY JR","1912 W GARNER RD ","RALEIGH","NC","27529","","","19197725018"
"011EC6C8-EDD1-F08B-9F20505CA13E6374","FITZGERALD'S SEAFOOD RESTAURANT #1","308 SOUTHTOWN DR ","ROLESVILLE","NC","27571","","","19195623474"
"0124B480-C0F4-15B8-6D8AE96D00E0EB92","WAKE COUNTY DETENTION CENTER KITCHEN & STAFF KITCHEN","3301 HAMMOND RD ","RALEIGH","NC","27603","","",""
"014B14FD-B51C-8ADB-46806034E1BB70BB","PDQ WAKE FOREST","11690 NORTHPARK DR ","WAKE FOREST","NC","27587","","","19196484221"
